#TAXONOMY	ID	no rank	superkingdom	clade	phylum	class	order	family	genus	species	strain	no rank2	clade2	clade3	subspecies	no rank3	species group	subphylum
NZ_BMRF01000161.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura cremea	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_WACO01000134.1	cellular organisms	Bacteria	NA	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita lutea	NA	NA	FCB group	Bacteroidetes/Chlorobi group	NA	NA	NA	NA	
NZ_JIAH01000008.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum DSM 44287	NA	NA	NA	NA	NA	NA	NA	
NZ_JIAH01000005.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum DSM 44287	NA	NA	NA	NA	NA	NA	NA	
NZ_BMIV01000076.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus acridae	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_NGUZ01000036.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium kefirresidentii	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BHXD01000058.1	cellular organisms	Bacteria	NA	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho globiformans	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BMIV01000078.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus acridae	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_JIAH01000006.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum DSM 44287	NA	NA	NA	NA	NA	NA	NA	
NZ_JXXV01000068.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio galatheae	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_JIAH01000007.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium pseudodiphtheriticum	Corynebacterium pseudodiphtheriticum DSM 44287	NA	NA	NA	NA	NA	NA	NA	
NZ_WACO01000046.1	cellular organisms	Bacteria	NA	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita lutea	NA	NA	FCB group	Bacteroidetes/Chlorobi group	NA	NA	NA	NA	
NZ_PDHE01000010.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium amycolatum	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_RBCK01000002.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus chosunense	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BHXD01000064.1	cellular organisms	Bacteria	NA	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho globiformans	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BNBB01000081.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Streptosporangium	Streptosporangium violaceochromogenes	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_PDHE01000005.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium amycolatum	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BNBF01000121.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces capoamus	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_QGNX01000055.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanibium	Oceanibium sediminis	NA	NA	NA	NA	NA	NA	NA	NA	
NC_000913.3	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	Escherichia coli K-12	Escherichia coli str. K-12 substr. MG1655	NA	NA	NA	NA	NA	NA	
NZ_BHXD01000050.1	cellular organisms	Bacteria	NA	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho globiformans	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_NISV01000002.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus soli	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BMRF01000060.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura cremea	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_JXXV01000067.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio galatheae	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BNBF01000124.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces capoamus	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_WACO01000212.1	cellular organisms	Bacteria	NA	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita lutea	NA	NA	FCB group	Bacteroidetes/Chlorobi group	NA	NA	NA	NA	
NZ_QMIL01000023.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Aliidiomarina	Aliidiomarina celeris	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_WACO01000229.1	cellular organisms	Bacteria	NA	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita lutea	NA	NA	FCB group	Bacteroidetes/Chlorobi group	NA	NA	NA	NA	
NZ_JADLRJ010000039.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia blacklockiae	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_CP012400.2	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas yamanorum	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_BMDN01000009.1	cellular organisms	Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Agromyces	Agromyces flavus	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_QPLJ01000113.1	cellular organisms	Bacteria	NA	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jannaschia	Jannaschia formosa	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_QMIL01000014.1	cellular organisms	Bacteria	NA	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Aliidiomarina	Aliidiomarina celeris	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_LN831027.1	cellular organisms	Bacteria	NA	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	NA	NA	NA	NA	Fusobacterium nucleatum subsp. polymorphum	NA	NA	NA	
NZ_SUSS01000110.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Tissierella	Tissierella creatinini	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_CP048832.1	cellular organisms	Bacteria	NA	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium lividum	NA	NA	NA	NA	NA	NA	NA	NA	
NZ_LR793266.1	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	NA	NA	NA	NA	NA	NA	NA	NA	
